Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74
P00441,"Superoxide dismutase [Cu-Zn], EC 1.15.1.1 (Superoxide dismutase 1, hSod1)",SOD1,0.4736967518,0.5576934037,0.4225043934,0.5167060885,0.4542160325,0.4653719419,0.5292896272,0.5430752987,0.4193681907,0.3735010763,0.4277636584,0.485720995,0.5114086486,0.5127119536,0.5402593597,0.4803998895,0.3812153265,0.4499975537,0.407593352,0.5508873985,0.3560348904,0.4437928183,0.4901281596,0.4520886056,0.4698887549,0.4523569291,0.4516194972,0.3995800605,0.4358986008,0.4862973786,0.459105296,0.4240278049,0.4188128281,0.4289621294,0.4830531527,0.3550563267,0.4591443545,0.4929809871,0.3896145916,0.5405179865,0.5774078247,0.5034937491,0.5108279252,0.4412222153,0.5668071133,0.4289567725,0.4507402749,0.5068559641,0.3757907856,0.3482099746,0.3720193636,0.465195365,0.4476417045,0.4920812184,0.5051438336,0.4807203588,0.4270339568,0.4431291635,0.5304262557,0.4287572081,0.4767945084,0.4506794494,0.4335973385,0.3881290138,0.475266346,0.4432187402,0.4706973194,0.3437921639,0.4266408632,0.4364867833,0.4390074783,0.4431825298,0.4280983678,0.4132339096
P00450,"Ceruloplasmin, EC 1.16.3.1 (Ferroxidase)",CP,0.4776621692,0.4376797956,0.452429384,0.4561386497,0.4769707123,0.4543811544,0.4271117686,0.537113831,0.4071031208,0.4626014694,0.4419671402,0.4430073431,0.5033955266,0.3988057739,0.4156803189,0.459940408,0.3885024764,0.4335326818,0.3819270246,0.4899213057,0.4871086216,0.4342863881,0.4562219201,0.4554591951,0.4299559843,0.5125930491,0.4347887912,0.4604180605,0.4758580207,0.4460561411,0.4082330361,0.4895766961,0.4598426262,0.5088043102,0.4440197439,0.3939919537,0.4517478273,0.4685730068,0.5098456659,0.3792412805,0.4846576351,0.3961355582,0.4080873127,0.4508226977,0.4048560385,0.4414808759,0.3823066919,0.4200323541,0.4383203952,0.3475978891,0.5068849529,0.4810384886,0.4243281749,0.3784221377,0.5304692132,0.4873012015,0.3825710824,0.4790087369,0.4909917517,0.5365840328,0.5123671067,0.4507144732,0.5008464193,0.4322046262,0.4653865549,0.4688189531,0.4322529746,0.3526583337,0.4194523766,0.4703063618,0.4773175596,0.4366763457,0.5214753237,0.462299919
P00558,"Phosphoglycerate kinase 1, EC 2.7.2.3 (Cell migration-inducing gene 10 protein) (Primer recognition protein 2, PRP 2)",PGK1,0.3928624029,0.4687776569,0.3522259358,0.4478128226,0.3860237811,0.476501197,0.4206360926,0.5224753831,0.3710883685,0.3447085799,0.3647281536,0.3868512646,0.4426712723,0.395670654,0.4660237639,0.4856547936,0.3568329698,0.3685041866,0.2701703827,0.3825112529,0.4466149619,0.3304624118,0.4527116085,0.4514656027,0.3549525438,0.4864256409,0.3689758888,0.4319072462,0.4292151619,0.5264356808,0.3953746641,0.4285674275,0.5112360387,0.5114329584,0.4677543387,0.3661909388,0.4847434823,0.5810597572,0.3588745968,0.3469105009,0.5770730814,0.4022862789,0.444346332,0.5547319788,0.6978690455,0.4093811922,0.6248090348,0.4159398272,0.4434166432,0.4337376709,0.483069461,0.4350482316,0.5504798275,0.4468615863,0.547210512,0.5819863108,0.3675824644,0.5501143325,0.6478714307,0.4231332978,0.7269268479,0.3953754185,0.4927942049,0.5034172257,0.3367313971,0.4529394495,0.4171376582,0.3184713615,0.4012239404,0.4271358411,0.4220115197,0.3732142746,0.4741864405,0.4275616868
P00734,"Prothrombin, EC 3.4.21.5 (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain ]",F2,0.4502982904,0.4288294934,0.4557436913,0.4669621503,0.4682167,0.4722615566,0.4121802804,0.496095425,0.4165479119,0.4547992359,0.4165861566,0.4221351031,0.4140535271,0.4575045093,0.4394707551,0.443240236,0.3932759836,0.4520561925,0.3533565376,0.4344661181,0.4834111886,0.4526696681,0.4252480492,0.473222761,0.4381663651,0.4999550251,0.4413494944,0.4697240448,0.4762110726,0.4824424573,0.463308353,0.4430275165,0.4638337436,0.5029719525,0.4698265055,0.3676981819,0.4291049369,0.451921929,0.4707371916,0.4039392835,0.453662065,0.4396554013,0.4517241955,0.4420798063,0.407387956,0.4496109699,0.3665127982,0.4556197349,0.3917609085,0.2954209002,0.504149199,0.4984613779,0.4573387142,0.4141583611,0.4756518449,0.4720631451,0.4075858929,0.4528292246,0.5049104322,0.4809220252,0.4499613433,0.4192806482,0.4701654868,0.4038086139,0.4634994411,0.4783778681,0.3973229423,0.3512972207,0.4372373026,0.4625066373,0.4575590284,0.4521210187,0.4731331842,0.4661027963
P00736,"Complement C1r subcomponent, EC 3.4.21.41 (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain ]",C1R,0.4657947701,0.459564945,0.4248721454,0.4683084128,0.4616062922,0.4686157948,0.4113005496,0.5266090028,0.441962597,0.4611976702,0.4181688042,0.4390697616,0.4519977744,0.4476409925,0.4521234938,0.4419812447,0.4074926205,0.4364149388,0.4031948332,0.4723481837,0.4354780103,0.4590410462,0.4523101064,0.4319081616,0.4399615966,0.4932749088,0.4376967481,0.4614878962,0.4850459142,0.4314363408,0.4813989657,0.4520537174,0.4582610975,0.4045033596,0.459082478,0.4093019225,0.3972992428,0.4564728844,0.4993590784,0.4257100715,0.4740681123,0.4350983431,0.4470961405,0.4315072699,0.4617417763,0.4819470726,0.3663640573,0.4530948696,0.4228636859,0.3667973622,0.4958369,0.4372475758,0.4629441124,0.4067243351,0.5051999463,0.4633637197,0.3720259751,0.4567502266,0.4967355159,0.5195160941,0.4357493853,0.451052234,0.4963736148,0.4232104654,0.4863041257,0.4613365447,0.4052114977,0.3756298643,0.4027328448,0.4608729289,0.4960096794,0.4299191635,0.4784037375,0.470094117
P00738,Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain ],HP,0.3977018637,0.4075898937,0.3093630768,0.438664903,0.4409670469,0.406113538,0.4689335856,0.4874563843,0.2350049824,0.3765071541,0.4603555059,0.3864029144,0.4300015186,0.4752464099,0.4547663482,0.4744731066,0.1225825158,0.4538710549,0.2829611144,0.4622486209,0.2505904625,0.4225669162,0.4775089528,0.4425973309,0.4604261638,0.5171233224,0.4943275548,0.4863246382,0.4915229401,0.0792311462,0.4047921277,0.4830171457,0.4695514688,0.4503061563,0.4718571388,0.3932796453,0.4813218998,0.4854223605,0.4959924218,0.4872063016,0.4290482479,0.4644388785,0.5013575359,0.4964398311,0.4682660656,0.4829893437,0.3978237179,0.441930489,0.4630021238,0.4023480579,0.05256825156,0.5164812989,0.4631827692,0.3927091612,0.1633295808,0.4270456201,0.4048664473,0.4005721183,0.4172693407,0.3253651805,0.5046049489,0.2200234167,0.4062995404,0.4634553647,0.455175038,0.469765341,0.4593728736,0.3103704597,0.4479414918,0.4473842305,0.4183599941,0.4618008048,0.496980818,0.4941585727
P00739,Haptoglobin-related protein,HPR,0.3971444329,0.3619454329,0.4159909982,0.4573514285,0.2597362122,0.3733751195,0.3845353977,0.5517157973,0.4019325828,0.3770133375,0.3113736044,0.3692789987,0.4524055149,0.4318900564,0.3594711199,0.4023040832,0.2708322745,0.4576075463,0.2873076908,0.5040460941,0.4044609106,0.4674551617,0.4640849451,0.4659312713,0.4543239907,0.5331742831,0.4230038488,0.4789633043,0.5638931552,0.3858575538,0.4959702141,0.5255449987,0.547979272,0.4711851772,0.4483655406,0.4086299948,0.423822517,0.4312371833,0.535401904,0.5145302404,0.5174904109,0.4138179218,0.5114067161,0.4753366987,0.3892951056,0.4636458086,0.3825981385,0.4330611322,0.4055354252,0.2349705011,0.3646458239,0.4406144696,0.4547562784,0.4454522945,0.4365683247,0.4465202994,0.3226421749,0.5211867928,0.4662406197,0.4416912898,0.5862896585,0.4361342061,0.5308905835,0.4683972437,0.5531398038,0.4755863745,0.4517716963,0.3953101091,0.4637065662,0.5051683469,0.5759989737,0.3886909877,0.5287517935,0.4585691576
P00740,"Coagulation factor IX, EC 3.4.21.22 (Christmas factor) (Plasma thromboplastin component, PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain ]",F9,0.4363562494,0.4264851718,0.4418584072,0.4076657051,0.454232956,0.4647601615,0.4556265837,0.4908537926,0.4215383088,0.4165044373,0.4537043783,0.4492991125,0.3522719193,0.4525096369,0.4460490549,0.465761645,0.3909718733,0.4382768273,0.3482994836,0.4507602788,0.4806881491,0.4530505559,0.4655816777,0.4342253932,0.4368387164,0.5093460091,0.4467539382,0.4709544543,0.4984936554,0.4479492899,0.458768349,0.4167141138,0.4605773119,0.5091074541,0.4695968336,0.3745094764,0.4329894233,0.4823332835,0.4869655767,0.4491314187,0.4763161779,0.4527319175,0.4520886056,0.4568511615,0.3889694489,0.4599492572,0.3754510837,0.4470280255,0.4013339618,0.2654008085,0.5028033772,0.4688233268,0.4772952841,0.4266866348,0.4630178557,0.4840088645,0.3930298339,0.4514905907,0.54014232,0.4980183085,0.4571721733,0.432241074,0.492199411,0.4180595965,0.4689874944,0.4631911098,0.3891861012,0.3415158556,0.4096391747,0.4616355522,0.4193282507,0.4356830334,0.4651405747,0.4381035732
P00742,"Coagulation factor X, EC 3.4.21.6 (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain ]",F10,0.4606642102,0.4348485317,0.4522216146,0.4361234243,0.4591214687,0.4636570651,0.4319162988,0.5049952284,0.4414681955,0.3786328906,0.4423173102,0.4406673613,0.4794242077,0.4413703459,0.4356305824,0.4397463004,0.4232750882,0.4296745057,0.382551621,0.4937717515,0.4795356193,0.4327187604,0.4656152775,0.4642464681,0.4385031426,0.5100640813,0.4389558411,0.4766105065,0.4772183538,0.4679889607,0.4530554721,0.4353800251,0.4572427294,0.5270549202,0.4694809127,0.37814744,0.4504085831,0.4481126777,0.4866905739,0.4252393357,0.4649259905,0.4618115526,0.4524107362,0.4499964349,0.3794110763,0.4509853735,0.3605810991,0.4430229394,0.3476244706,0.410356501,0.5088586259,0.4914934089,0.4519555966,0.3942288813,0.4688880513,0.481486576,0.3515754106,0.4822443509,0.5237508183,0.5024188616,0.4744205879,0.4571019562,0.4946922022,0.4016864034,0.4660906922,0.4769392485,0.4323521126,0.3524854186,0.4359840751,0.4549146822,0.4431259425,0.4491383014,0.470773775,0.4543773571
P00746,"Complement factor D, EC 3.4.21.46 (Adipsin) (C3 convertase activator) (Properdin factor D)",CFD,0.52720478,0.5235832602,0.4853570257,0.4677128391,0.4385224684,0.4838041805,0.4875702031,0.4616186336,0.4525712421,0.421485451,0.4108712455,0.4530103108,0.3691806066,0.5048605581,0.4743103291,0.4400622942,0.3855589193,0.4505140274,0.4031572665,0.3617670252,0.4571833958,0.5084618028,0.3894938562,0.5340548616,0.4653080311,0.41086677,0.4951004174,0.4860916775,0.4672460362,0.4837584089,0.4222929305,0.424442231,0.4318939893,0.5458637408,0.4828741686,0.2863564545,0.4360470026,0.4662615052,0.4343189368,0.4257593693,0.4012000035,0.4921637091,0.4736970569,0.4390952581,0.4405224517,0.4325504563,0.2399122106,0.4735984614,0.2566399474,0.3688319284,0.4947793378,0.4697731731,0.4120004149,0.4081045364,0.3788679196,0.4124118171,0.3194096123,0.4341922002,0.4788361608,0.4947576387,0.3995941988,0.4516059691,0.4696525393,0.4148371715,0.4639449856,0.4994035616,0.475673578,0.3187306324,0.5066953566,0.4799782819,0.4214454432,0.4592252855,0.4504040398,0.4854197498
P00747,"Plasminogen, EC 3.4.21.7 [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B ]",PLG,0.4543749837,0.3815401695,0.4408206793,0.4554557368,0.4689647442,0.467580203,0.4031445183,0.5161825627,0.4113717499,0.3992156165,0.4371678992,0.4281645841,0.4111898161,0.4315630096,0.4402212404,0.452105592,0.409606253,0.439673676,0.3498296464,0.4293899078,0.4376568759,0.4597562365,0.4107743452,0.4316458732,0.4595458226,0.4847274114,0.4420740085,0.4776783757,0.4821034421,0.4679508516,0.4792253215,0.4607095072,0.5061914617,0.4511463541,0.4671931445,0.3383397447,0.4520716192,0.4366199957,0.4822476736,0.3736542926,0.4629929355,0.4551396752,0.4509479425,0.410978385,0.4056105585,0.461522208,0.3817072529,0.4453654979,0.4132129903,0.3608290796,0.4923568993,0.483417122,0.4747118989,0.3657435296,0.452333433,0.4829406901,0.3863535828,0.4657734778,0.5051435963,0.4460609555,0.4673721624,0.4560334088,0.4675596566,0.4541234092,0.4707652309,0.4889132447,0.384595884,0.3458243907,0.3994745145,0.4734392439,0.4793923371,0.4317239223,0.4985473269,0.4755098172
P00748,"Coagulation factor XII, EC 3.4.21.38 (Hageman factor, HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2) ]",F12,0.5208708329,0.3682521883,0.4697723254,0.5467029892,0.524455532,0.4113435071,0.3753387228,0.5857512823,0.2773414422,0.3689121814,0.4761002036,0.4527268318,0.4259858202,0.4797094498,0.3810667551,0.4296268693,0.4732810097,0.4064249208,0.2621158288,0.422775228,0.4648015933,0.4918120812,0.406146358,0.426298627,0.4981793568,0.4516661503,0.4517888183,0.4021777196,0.5391518895,0.5019263926,0.436551067,0.4566617686,0.500920705,0.3834485078,0.4582931377,0.3914533231,0.4049937264,0.4287222183,0.495454622,0.3952291103,0.4202650436,0.4789236694,0.4771750572,0.4047508994,0.4790351488,0.2749990193,0.3430480188,0.4817511361,0.4140641097,0.3748102808,0.4561358356,0.456384223,0.4436597076,0.4656217533,0.4937942983,0.4416910525,0.3964753194,0.5123385249,0.5418299033,0.4980785914,0.3974622915,0.3804871845,0.4548020839,0.4867093912,0.4321035556,0.5583385465,0.4520886056,0.3508332659,0.4379605623,0.4708100871,0.5232919152,0.4544755118,0.4849702045,0.414739966
P00751,"Complement factor B, EC 3.4.21.47 (C3/C5 convertase) (Glycine-rich beta glycoprotein, GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment ]",CFB,0.4983484406,0.4636800526,0.4522659622,0.4686251525,0.4120400836,0.439193379,0.4093887869,0.4919899803,0.4530965649,0.4757175866,0.4248309848,0.4160756503,0.4301695853,0.4519954688,0.4604666124,0.4660820804,0.4189046088,0.4641965601,0.3943296467,0.4450960216,0.485026724,0.4635191399,0.4609298891,0.435461736,0.4488413622,0.476072232,0.4731286071,0.4829252973,0.4727297496,0.4496301262,0.4360438834,0.4462203765,0.4890619517,0.4717827175,0.488479872,0.3813130744,0.4779249323,0.4164153775,0.450325177,0.4521817424,0.4331555235,0.4287164205,0.4562627417,0.4414913864,0.440123323,0.4957483404,0.3287254629,0.4699109626,0.3764266977,0.3340149691,0.4570354347,0.3763982854,0.4565076708,0.4273649705,0.4542285144,0.4382788955,0.3380259886,0.4268273741,0.4341989812,0.5038552095,0.4222758425,0.4449481284,0.4691270132,0.4322772505,0.4568719452,0.4833685023,0.4281842489,0.3433946288,0.4586812472,0.4972560242,0.4630770197,0.4512513915,0.4734123234,0.4844371175
